In-app Purchases,Languages,Size,Original Release Date,Current Version Release Date,game_id
"0.99, 0.99, 1.99, 0.99, 7.99, 3.99, 14.99",EN,388948992.0,14/05/2018,28/12/2018,4173eb39-046d-431e-a504-b5418301a382
,EN,18596864.0,9/11/2017,9/11/2017,c8cb6281-34fc-4e54-b6f9-1a30657fb370
"1.99, 0.99, 0.99, 0.99",EN,55459840.0,26/04/2013,30/05/2013,6a30fa24-b1c7-44b0-96e8-34b9c6c7232b
3.99,EN,187921408.0,23/02/2019,23/02/2019,4df50e72-3f5c-470a-8834-b56b5610e17a
,EN,32905216.0,12/11/2013,16/01/2019,d5832610-8ec2-44f5-989d-0f5fd9e67ef5
0.99,EN,8687616.0,20/11/2013,20/11/2013,83c971c6-6358-471d-9d2e-33f9e3a253b4
,EN,67051520.0,31/10/2017,31/10/2017,99456c5a-037b-4c1f-8e40-63061bf56bb9
2.99,EN,110261248.0,16/09/2016,3/11/2016,b8bee0e2-3033-44a3-b014-f52e5802ed68
0.99,"CA, EN, ES",7204864.0,5/07/2012,10/11/2015,c2ee309a-8172-4551-9e0d-d9fc22491e1d
,"EN, ZH, ZH",81345536.0,9/07/2018,9/07/2018,5f15067f-a65b-48e0-b4a9-946ce2fab712
"0.99, 29.99","EN, PT, ES",51820544.0,19/08/2018,24/05/2019,2280769a-722c-48a4-9abc-73446f2f3b61
2.99,EN,152097792.0,17/02/2018,26/02/2018,f25e979f-28d1-4da3-aacf-1e9a151ddcdf
,"EN, ZH",12045312.0,11/01/2017,24/03/2017,1f870e20-c694-40fc-9e28-fdafece172ce
,"AR, CA, DA, NL, EN, EO, FI, FR, DE, HE, IT, KO, LT, FA, PL, PT, RU, ZH, SK, ES, SV, TA, UK",73158656.0,21/07/2016,8/01/2019,673b98fb-277e-4a15-9404-3a89f582036a
1.99,EN,91384832.0,23/01/2019,24/01/2019,33bf6951-bda5-4000-ae82-f6da897e1f13
,EN,20705280.0,6/12/2013,6/12/2013,8b86233e-3000-4062-b95c-9e4de0fef778
,EN,26714112.0,28/07/2017,28/07/2017,dc13be25-f4cd-4cc2-81e8-dca144a6bb18
,EN,23515136.0,3/11/2015,3/11/2015,2ec4137a-7f6a-456e-8f4d-e122312f5b8d
,"CA, CS, DA, NL, EN, FI, FR, DE, EL, HE, HU, ID, IT, JA, KO, NB, PL, PT, RO, RU, ZH, SK, ES, SV, ZH, TR",29820928.0,23/10/2017,23/10/2017,018ab435-699a-498d-b2c4-8bf485372cb1
,EN,7634944.0,23/04/2015,23/04/2015,87254404-3d15-48fb-a83b-8eed8250e433
0.99,EN,62128128.0,19/04/2015,19/04/2015,7db87c21-b664-416c-83b9-163818f08664
,EN,18644992.0,3/09/2014,3/09/2014,cfa82f2e-fcf4-414d-b323-8f03b2765481
,EN,8151040.0,8/07/2015,8/07/2015,3edb03c7-123c-4cca-b490-7c2c4e8c4d9e
,EN,30703616.0,27/03/2017,27/03/2017,d65a0823-e157-49ab-939f-3055b3b5a812
,EN,14467072.0,30/07/2019,30/07/2019,1765ca0c-55a7-453a-9ff6-5350a3558a58
,EN,23331840.0,14/10/2016,14/10/2016,0765120c-9ae7-423e-9e4e-5a117a552738
,EN,11010048.0,27/04/2014,27/04/2014,cb3a5f44-5ca8-4607-ae32-ce8a6edcf49e
