Average User Rating,User Rating Count,Age Rating,game_id
4.0,25.0,12+,4173eb39-046d-431e-a504-b5418301a382
,,4+,c8cb6281-34fc-4e54-b6f9-1a30657fb370
3.5,27.0,9+,6a30fa24-b1c7-44b0-96e8-34b9c6c7232b
,,4+,4df50e72-3f5c-470a-8834-b56b5610e17a
,,4+,d5832610-8ec2-44f5-989d-0f5fd9e67ef5
3.5,25.0,4+,83c971c6-6358-471d-9d2e-33f9e3a253b4
,,4+,99456c5a-037b-4c1f-8e40-63061bf56bb9
,,4+,b8bee0e2-3033-44a3-b014-f52e5802ed68
4.5,26.0,4+,c2ee309a-8172-4551-9e0d-d9fc22491e1d
3.5,27.0,17+,5f15067f-a65b-48e0-b4a9-946ce2fab712
,,9+,2280769a-722c-48a4-9abc-73446f2f3b61
3.0,12.0,12+,f25e979f-28d1-4da3-aacf-1e9a151ddcdf
,,4+,1f870e20-c694-40fc-9e28-fdafece172ce
,,4+,673b98fb-277e-4a15-9404-3a89f582036a
,,4+,33bf6951-bda5-4000-ae82-f6da897e1f13
3.5,11.0,4+,8b86233e-3000-4062-b95c-9e4de0fef778
,,4+,dc13be25-f4cd-4cc2-81e8-dca144a6bb18
,,12+,2ec4137a-7f6a-456e-8f4d-e122312f5b8d
,,4+,018ab435-699a-498d-b2c4-8bf485372cb1
,,4+,87254404-3d15-48fb-a83b-8eed8250e433
,,4+,7db87c21-b664-416c-83b9-163818f08664
4.5,6.0,9+,cfa82f2e-fcf4-414d-b323-8f03b2765481
,,4+,3edb03c7-123c-4cca-b490-7c2c4e8c4d9e
,,12+,d65a0823-e157-49ab-939f-3055b3b5a812
,,4+,1765ca0c-55a7-453a-9ff6-5350a3558a58
,,4+,0765120c-9ae7-423e-9e4e-5a117a552738
3.5,15.0,4+,cb3a5f44-5ca8-4607-ae32-ce8a6edcf49e
,,4+,001bc7ed-5a76-4933-8de0-6670c01ff83d
3.0,57.0,4+,42012326-b0c5-418d-a318-838f351fb805
,,9+,c35363bd-e8e0-4e52-a963-0e2ff431e39d
,,4+,2ba8c7be-d63d-432d-a407-6bb7e9ecd2a7
3.0,183.0,4+,ed93d3c2-895f-4547-b5eb-3b81ee197c64
4.0,3561.0,4+,4acf194c-7be6-44b9-b7ce-7f57ebf43093
,,4+,cd3b6b5e-aaea-4506-92c4-b776693dcac9
,,4+,260d7a41-a50c-4248-a39c-8f12a3fc850a
,,4+,4ec93c99-3929-4560-b1d6-c0b036c03a26
,,4+,7b818c56-35ae-4b8e-a0d5-b19f0094dfdb
,,4+,52e7d2d4-3df8-4d7a-bfc5-447f988f2ee6
,,9+,f879ba3c-be21-459d-a5f1-1740ccfd1eb8
,,4+,81b48a2d-0d9c-44dd-a49d-6d79e3df781e
,,4+,84a6598c-f318-4458-a775-be6c85c68d1e
,,4+,f0d6724c-1b94-451e-a33f-98d8cbc3983d
,,4+,12657524-bdf4-450f-a572-de45e1a38b0a
5.0,9.0,4+,07db102b-b289-4a7b-9072-4d2f3dfaaf17
,,4+,80c7dc42-fa07-4be6-8f69-f67aa99034b5
,,4+,a9a61e5a-26df-4fa6-8583-4bedae35dc6d
